Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
BIG,Last 6 Months,https://www.hltv.org/stats/teams/7532/big?startDate=all&csVersion=CS2,124,84,0,40,9262,8239,2649,1.12
BIG,Last 12 Months,https://www.hltv.org/stats/teams/7532/big?startDate=all&csVersion=CS2,255,155,0,100,18621,17365,5430,1.07
K27,Last Month,https://www.hltv.org/stats/teams/12895/k27?startDate=all&csVersion=CS2,20,8,0,12,1382,1424,425,0.97
K27,Last 3 Months,https://www.hltv.org/stats/teams/12895/k27?startDate=all&csVersion=CS2,101,58,0,43,7298,7202,2156,1.01
K27,Last 6 Months,https://www.hltv.org/stats/teams/12895/k27?startDate=all&csVersion=CS2,167,102,0,65,12392,11980,3607,1.03
K27,Last 12 Months,https://www.hltv.org/stats/teams/12895/k27?startDate=all&csVersion=CS2,299,187,0,112,22544,21400,6521,1.05
Fluxo,Last Month,https://www.hltv.org/stats/teams/11837/fluxo?startDate=all&csVersion=CS2,8,4,0,4,515,457,146,1.13
Fluxo,Last 3 Months,https://www.hltv.org/stats/teams/11837/fluxo?startDate=all&csVersion=CS2,52,24,0,28,3539,3435,1071,1.03
Fluxo,Last 6 Months,https://www.hltv.org/stats/teams/11837/fluxo?startDate=all&csVersion=CS2,85,39,0,46,6007,5851,1806,1.03
Fluxo,Last 12 Months,https://www.hltv.org/stats/teams/11837/fluxo?startDate=all&csVersion=CS2,195,100,0,95,13972,13589,4152,1.03
Spirit Academy,Last Month,https://www.hltv.org/stats/teams/7900/spirit-academy?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Spirit Academy,Last 3 Months,https://www.hltv.org/stats/teams/7900/spirit-academy?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Spirit Academy,Last 6 Months,https://www.hltv.org/stats/teams/7900/spirit-academy?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Spirit Academy,Last 12 Months,https://www.hltv.org/stats/teams/7900/spirit-academy?startDate=all&csVersion=CS2,83,39,0,44,6114,6333,1833,0.97
FaZe,Last Month,https://www.hltv.org/stats/teams/6667/faze?startDate=all&csVersion=CS2,18,9,0,9,1404,1348,413,1.04
FaZe,Last 3 Months,https://www.hltv.org/stats/teams/6667/faze?startDate=all&csVersion=CS2,64,31,0,33,4664,4658,1405,1.00
FaZe,Last 6 Months,https://www.hltv.org/stats/teams/6667/faze?startDate=all&csVersion=CS2,97,47,0,50,6785,6850,2052,0.99
FaZe,Last 12 Months,https://www.hltv.org/stats/teams/6667/faze?startDate=all&csVersion=CS2,203,103,0,100,14428,14408,4357,1.00
HOTU,Last Month,https://www.hltv.org/stats/teams/11581/hotu?startDate=all&csVersion=CS2,26,17,0,9,1960,1852,569,1.06
HOTU,Last 3 Months,https://www.hltv.org/stats/teams/11581/hotu?startDate=all&csVersion=CS2,68,36,0,32,4992,5111,1514,0.98
HOTU,Last 6 Months,https://www.hltv.org/stats/teams/11581/hotu?startDate=all&csVersion=CS2,146,88,0,58,10796,10318,3145,1.05
HOTU,Last 12 Months,https://www.hltv.org/stats/teams/11581/hotu?startDate=all&csVersion=CS2,248,150,0,98,18237,17499,5318,1.04
Marsborne,Last Month,https://www.hltv.org/stats/teams/13124/marsborne?startDate=all&csVersion=CS2,16,10,0,6,1177,1189,349,0.99
Marsborne,Last 3 Months,https://www.hltv.org/stats/teams/13124/marsborne?startDate=all&csVersion=CS2,59,32,0,27,4069,4250,1231,0.96
Marsborne,Last 6 Months,https://www.hltv.org/stats/teams/13124/marsborne?startDate=all&csVersion=CS2,123,72,0,51,8915,8781,2626,1.02
Marsborne,Last 12 Months,https://www.hltv.org/stats/teams/13124/marsborne?startDate=all&csVersion=CS2,274,170,0,104,20129,18987,5805,1.06
Rare Atom,Last Month,https://www.hltv.org/stats/teams/11514/rare-atom?startDate=all&csVersion=CS2,6,2,0,4,447,433,127,1.03
Rare Atom,Last 3 Months,https://www.hltv.org/stats/teams/11514/rare-atom?startDate=all&csVersion=CS2,65,33,0,32,4718,4532,1362,1.04
Rare Atom,Last 6 Months,https://www.hltv.org/stats/teams/11514/rare-atom?startDate=all&csVersion=CS2,98,52,0,46,7382,7026,2121,1.05
Rare Atom,Last 12 Months,https://www.hltv.org/stats/teams/11514/rare-atom?startDate=all&csVersion=CS2,189,102,0,87,14224,13690,4116,1.04
