Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
Fire Flux,Last 6 Months,https://www.hltv.org/stats/teams/12960/fire-flux?startDate=all&csVersion=CS2,42,24,0,18,3172,2967,917,1.07
Fire Flux,Last 12 Months,https://www.hltv.org/stats/teams/12960/fire-flux?startDate=all&csVersion=CS2,167,92,0,75,12450,11733,3584,1.06
ARCRED,Last Month,https://www.hltv.org/stats/teams/10459/arcred?startDate=all&csVersion=CS2,15,9,0,6,1166,1021,324,1.14
ARCRED,Last 3 Months,https://www.hltv.org/stats/teams/10459/arcred?startDate=all&csVersion=CS2,45,27,0,18,3354,3121,963,1.07
ARCRED,Last 6 Months,https://www.hltv.org/stats/teams/10459/arcred?startDate=all&csVersion=CS2,145,89,0,56,11048,10197,3143,1.08
ARCRED,Last 12 Months,https://www.hltv.org/stats/teams/10459/arcred?startDate=all&csVersion=CS2,377,187,0,190,28374,28163,8342,1.01
Rebels,Last Month,https://www.hltv.org/stats/teams/12642/rebels?startDate=all&csVersion=CS2,23,9,0,14,1439,1567,456,0.92
Rebels,Last 3 Months,https://www.hltv.org/stats/teams/12642/rebels?startDate=all&csVersion=CS2,91,44,0,47,6409,6626,1971,0.97
Rebels,Last 6 Months,https://www.hltv.org/stats/teams/12642/rebels?startDate=all&csVersion=CS2,140,67,0,73,9792,10091,3019,0.97
Rebels,Last 12 Months,https://www.hltv.org/stats/teams/12642/rebels?startDate=all&csVersion=CS2,170,83,0,87,12155,12303,3705,0.99
kONO,Last Month,https://www.hltv.org/stats/teams/12858/kono?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
kONO,Last 3 Months,https://www.hltv.org/stats/teams/12858/kono?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
kONO,Last 6 Months,https://www.hltv.org/stats/teams/12858/kono?startDate=all&csVersion=CS2,67,25,0,42,4559,4780,1379,0.95
kONO,Last 12 Months,https://www.hltv.org/stats/teams/12858/kono?startDate=all&csVersion=CS2,163,76,0,87,11606,11643,3428,1.00
SPARTA,Last Month,https://www.hltv.org/stats/teams/13214/sparta?startDate=all&csVersion=CS2,42,19,0,23,2902,2907,873,1.00
SPARTA,Last 3 Months,https://www.hltv.org/stats/teams/13214/sparta?startDate=all&csVersion=CS2,86,42,0,44,6228,6089,1852,1.02
SPARTA,Last 6 Months,https://www.hltv.org/stats/teams/13214/sparta?startDate=all&csVersion=CS2,138,65,0,73,10037,10057,3001,1.00
SPARTA,Last 12 Months,https://www.hltv.org/stats/teams/13214/sparta?startDate=all&csVersion=CS2,375,171,0,204,27404,28199,8227,0.97
Permitta,Last Month,https://www.hltv.org/stats/teams/12009/permitta?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Permitta,Last 3 Months,https://www.hltv.org/stats/teams/12009/permitta?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Permitta,Last 6 Months,https://www.hltv.org/stats/teams/12009/permitta?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Permitta,Last 12 Months,https://www.hltv.org/stats/teams/12009/permitta?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Nexus,Last Month,https://www.hltv.org/stats/teams/7187/nexus?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Nexus,Last 3 Months,https://www.hltv.org/stats/teams/7187/nexus?startDate=all&csVersion=CS2,10,3,0,7,753,865,237,0.87
Nexus,Last 6 Months,https://www.hltv.org/stats/teams/7187/nexus?startDate=all&csVersion=CS2,57,23,0,34,3953,4066,1206,0.97
Nexus,Last 12 Months,https://www.hltv.org/stats/teams/7187/nexus?startDate=all&csVersion=CS2,275,115,0,160,19401,20433,5890,0.95
Partizan,Last Month,https://www.hltv.org/stats/teams/11838/partizan?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Partizan,Last 3 Months,https://www.hltv.org/stats/teams/11838/partizan?startDate=all&csVersion=CS2,4,1,0,3,204,269,72,0.76
Partizan,Last 6 Months,https://www.hltv.org/stats/teams/11838/partizan?startDate=all&csVersion=CS2,4,1,0,3,204,269,72,0.76
Partizan,Last 12 Months,https://www.hltv.org/stats/teams/11838/partizan?startDate=all&csVersion=CS2,203,101,0,102,14555,14495,4401,1.00
UNiTY,Last Month,https://www.hltv.org/stats/teams/12267/unity?startDate=all&csVersion=CS2,22,10,0,12,1695,1557,480,1.09
UNiTY,Last 3 Months,https://www.hltv.org/stats/teams/12267/unity?startDate=all&csVersion=CS2,94,41,0,53,6947,6771,2072,1.03
UNiTY,Last 6 Months,https://www.hltv.org/stats/teams/12267/unity?startDate=all&csVersion=CS2,141,65,0,76,10265,9988,3071,1.03
UNiTY,Last 12 Months,https://www.hltv.org/stats/teams/12267/unity?startDate=all&csVersion=CS2,248,107,0,141,17613,17775,5346,0.99
GenOne,Last Month,https://www.hltv.org/stats/teams/11609/genone?startDate=all&csVersion=CS2,68,39,0,29,4789,4619,1419,1.04
GenOne,Last 3 Months,https://www.hltv.org/stats/teams/11609/genone?startDate=all&csVersion=CS2,131,72,0,59,9242,8909,2731,1.04
GenOne,Last 6 Months,https://www.hltv.org/stats/teams/11609/genone?startDate=all&csVersion=CS2,203,109,0,94,14488,14105,4283,1.03
GenOne,Last 12 Months,https://www.hltv.org/stats/teams/11609/genone?startDate=all&csVersion=CS2,317,171,0,146,23012,22579,6806,1.02
KRÜ,Last Month,https://www.hltv.org/stats/teams/10900/kr?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
KRÜ,Last 3 Months,https://www.hltv.org/stats/teams/10900/kr?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
KRÜ,Last 6 Months,https://www.hltv.org/stats/teams/10900/kr?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
KRÜ,Last 12 Months,https://www.hltv.org/stats/teams/10900/kr?startDate=all&csVersion=CS2,110,59,0,51,7657,7696,2315,0.99
EYEBALLERS,Last Month,https://www.hltv.org/stats/teams/11737/eyeballers?startDate=all&csVersion=CS2,8,5,0,3,599,564,172,1.06
EYEBALLERS,Last 3 Months,https://www.hltv.org/stats/teams/11737/eyeballers?startDate=all&csVersion=CS2,50,29,0,21,3529,3510,1052,1.01
EYEBALLERS,Last 6 Months,https://www.hltv.org/stats/teams/11737/eyeballers?startDate=all&csVersion=CS2,115,61,0,54,8133,8360,2472,0.97
EYEBALLERS,Last 12 Months,https://www.hltv.org/stats/teams/11737/eyeballers?startDate=all&csVersion=CS2,327,182,0,145,24014,23637,7129,1.02
Tricked,Last Month,https://www.hltv.org/stats/teams/4602/tricked?startDate=all&csVersion=CS2,25,16,0,9,1817,1867,553,0.97
Tricked,Last 3 Months,https://www.hltv.org/stats/teams/4602/tricked?startDate=all&csVersion=CS2,72,43,0,29,5275,5345,1585,0.99
Tricked,Last 6 Months,https://www.hltv.org/stats/teams/4602/tricked?startDate=all&csVersion=CS2,123,72,0,51,9088,9141,2718,0.99
Tricked,Last 12 Months,https://www.hltv.org/stats/teams/4602/tricked?startDate=all&csVersion=CS2,261,127,0,134,18373,19327,5671,0.95
Solid,Last Month,https://www.hltv.org/stats/teams/12233/solid?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Solid,Last 3 Months,https://www.hltv.org/stats/teams/12233/solid?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Solid,Last 6 Months,https://www.hltv.org/stats/teams/12233/solid?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Solid,Last 12 Months,https://www.hltv.org/stats/teams/12233/solid?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Preasy,Last Month,https://www.hltv.org/stats/teams/12334/preasy?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Preasy,Last 3 Months,https://www.hltv.org/stats/teams/12334/preasy?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Preasy,Last 6 Months,https://www.hltv.org/stats/teams/12334/preasy?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Preasy,Last 12 Months,https://www.hltv.org/stats/teams/12334/preasy?startDate=all&csVersion=CS2,12,4,0,8,814,915,257,0.89
ENCE Academy,Last Month,https://www.hltv.org/stats/teams/11790/ence-academy?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
ENCE Academy,Last 3 Months,https://www.hltv.org/stats/teams/11790/ence-academy?startDate=all&csVersion=CS2,51,25,0,26,3376,3526,1054,0.96
ENCE Academy,Last 6 Months,https://www.hltv.org/stats/teams/11790/ence-academy?startDate=all&csVersion=CS2,98,52,0,46,6809,6936,2082,0.98
ENCE Academy,Last 12 Months,https://www.hltv.org/stats/teams/11790/ence-academy?startDate=all&csVersion=CS2,204,96,0,108,13995,14642,4317,0.96
Case,Last Month,https://www.hltv.org/stats/teams/10894/case?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Case,Last 3 Months,https://www.hltv.org/stats/teams/10894/case?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Case,Last 6 Months,https://www.hltv.org/stats/teams/10894/case?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Case,Last 12 Months,https://www.hltv.org/stats/teams/10894/case?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
WOPA,Last Month,https://www.hltv.org/stats/teams/12787/wopa?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
WOPA,Last 3 Months,https://www.hltv.org/stats/teams/12787/wopa?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
WOPA,Last 6 Months,https://www.hltv.org/stats/teams/12787/wopa?startDate=all&csVersion=CS2,8,2,0,6,579,620,178,0.93
WOPA,Last 12 Months,https://www.hltv.org/stats/teams/12787/wopa?startDate=all&csVersion=CS2,136,67,0,69,10007,10271,2989,0.97
HAVU,Last Month,https://www.hltv.org/stats/teams/7865/havu?startDate=all&csVersion=CS2,22,9,0,13,1376,1482,428,0.93
HAVU,Last 3 Months,https://www.hltv.org/stats/teams/7865/havu?startDate=all&csVersion=CS2,73,29,0,44,4886,5176,1531,0.94
HAVU,Last 6 Months,https://www.hltv.org/stats/teams/7865/havu?startDate=all&csVersion=CS2,119,53,0,66,8255,8451,2529,0.98
HAVU,Last 12 Months,https://www.hltv.org/stats/teams/7865/havu?startDate=all&csVersion=CS2,192,87,0,105,13513,13757,4106,0.98
GameHunters,Last Month,https://www.hltv.org/stats/teams/12988/gamehunters?startDate=all&csVersion=CS2,7,2,0,5,514,573,163,0.90
GameHunters,Last 3 Months,https://www.hltv.org/stats/teams/12988/gamehunters?startDate=all&csVersion=CS2,52,21,0,31,3345,3643,1057,0.92
GameHunters,Last 6 Months,https://www.hltv.org/stats/teams/12988/gamehunters?startDate=all&csVersion=CS2,113,51,0,62,7698,7962,2370,0.97
GameHunters,Last 12 Months,https://www.hltv.org/stats/teams/12988/gamehunters?startDate=all&csVersion=CS2,232,102,0,130,16225,16610,4963,0.98
Yawara,Last Month,https://www.hltv.org/stats/teams/11933/yawara?startDate=all&csVersion=CS2,33,21,0,12,2233,2128,664,1.05
Yawara,Last 3 Months,https://www.hltv.org/stats/teams/11933/yawara?startDate=all&csVersion=CS2,63,33,0,30,4223,4231,1289,1.00
Yawara,Last 6 Months,https://www.hltv.org/stats/teams/11933/yawara?startDate=all&csVersion=CS2,97,47,0,50,6398,6638,1969,0.96
Yawara,Last 12 Months,https://www.hltv.org/stats/teams/11933/yawara?startDate=all&csVersion=CS2,200,90,0,110,13230,13854,4064,0.95
