Team,Map,Timeframe,Profile URL,Times played,Wins,Draws,Losses,Total rounds played,Rounds won,Win percent,Pistol rounds,Pistol rounds won,Pistol round win percent,CT round win percent,T round win percent,Pick percent,Ban percent
TYLOO,Vertigo,Last 3 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
TYLOO,Vertigo,Last 6 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
TYLOO,Vertigo,Last 12 Months,https://www.hltv.org/stats/teams/4863/tyloo?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,0.0%
9z,Ancient,Last Month,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,4,2,0,2,89,46,50.0%,8,5,62.5%,58.7%,44.2%,0.0%,16.7%
9z,Ancient,Last 3 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,10,6,0,4,214,120,60.0%,20,9,45.0%,67.8%,41.7%,0.0%,13.5%
9z,Ancient,Last 6 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,22,16,0,6,454,266,72.7%,44,22,50.0%,63.1%,53.2%,2.6%,16.2%
9z,Ancient,Last 12 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,52,33,0,19,1106,594,63.5%,104,55,52.9%,56.4%,50.5%,5.8%,15.1%
9z,Anubis,Last Month,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,0,0,0,0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,0.0%,83.3%
9z,Anubis,Last 3 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,2,1,0,1,48,24,50.0%,4,2,50.0%,62.5%,37.5%,0.0%,77.8%
9z,Anubis,Last 6 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,2,1,0,1,48,24,50.0%,4,2,50.0%,62.5%,37.5%,0.0%,83.1%
9z,Anubis,Last 12 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,2,1,0,1,48,24,50.0%,4,2,50.0%,62.5%,37.5%,0.0%,82.7%
9z,Dust2,Last Month,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,3,2,0,1,60,35,66.7%,6,3,50.0%,70.8%,50.0%,16.7%,10.0%
9z,Dust2,Last 3 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,15,9,0,6,306,169,60.0%,30,15,50.0%,59.3%,51.3%,36.8%,5.9%
9z,Dust2,Last 6 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,29,20,0,9,594,351,69.0%,58,26,44.8%,58.7%,59.4%,43.2%,3.0%
9z,Dust2,Last 12 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,56,37,0,19,1162,658,66.1%,112,52,46.4%,56.3%,56.9%,39.5%,4.0%
9z,Inferno,Last Month,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,4,2,0,2,90,44,50.0%,8,3,37.5%,56.9%,38.5%,25.0%,14.3%
9z,Inferno,Last 3 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,15,10,0,5,324,178,66.7%,30,16,53.3%,59.9%,48.6%,19.0%,5.6%
9z,Inferno,Last 6 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,25,17,0,8,539,298,68.0%,50,29,58.0%,59.7%,49.6%,10.4%,10.3%
9z,Inferno,Last 12 Months,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,48,32,0,16,979,545,66.7%,96,53,55.2%,58.9%,52.0%,16.3%,14.7%
9z,Mirage,Last Month,https://www.hltv.org/stats/teams/9996/9z?startDate=all&csVersion=CS2,3,1,0,2,71,37,33.3%,6,4,66.7%,50.0%,55.2%,0.0%,22.2%
