Player,Total Kills,Headshot %,Rounds played,Profile URL
eraa,12349,35.0%,15937,https://www.hltv.org/stats/players/16487/eraa?csVersion=CS2
JBOEN,5169,38.8%,7108,https://www.hltv.org/stats/players/22866/jboen?csVersion=CS2
spirit,8212,56.0%,11487,https://www.hltv.org/stats/players/21367/spirit?csVersion=CS2
DGL,4668,38.3%,6216,https://www.hltv.org/stats/players/20289/dgl?csVersion=CS2
yAmi,5116,55.0%,6935,https://www.hltv.org/stats/players/19536/yami?csVersion=CS2
leakz,6755,57.2%,9591,https://www.hltv.org/stats/players/21571/leakz?csVersion=CS2
regali,3757,37.9%,5066,https://www.hltv.org/stats/players/20123/regali?csVersion=CS2
PR,9117,53.6%,12897,https://www.hltv.org/stats/players/22279/pr?csVersion=CS2
L1haNg,7058,58.1%,9751,https://www.hltv.org/stats/players/21825/l1hang?csVersion=CS2
keen,4804,38.4%,6485,https://www.hltv.org/stats/players/14990/keen?csVersion=CS2
soulfly,8749,51.4%,12148,https://www.hltv.org/stats/players/20968/soulfly?csVersion=CS2
HEN1,6416,32.8%,9487,https://www.hltv.org/stats/players/8565/hen1?csVersion=CS2
Banjo,7809,49.6%,11569,https://www.hltv.org/stats/players/20625/banjo?csVersion=CS2
Djon8,10134,57.6%,13705,https://www.hltv.org/stats/players/24171/djon8?csVersion=CS2
syph0,8021,58.1%,11537,https://www.hltv.org/stats/players/23319/syph0?csVersion=CS2
xfl0ud,8335,53.9%,11788,https://www.hltv.org/stats/players/19187/xfl0ud?csVersion=CS2
cobrazera,5115,59.3%,7166,https://www.hltv.org/stats/players/23402/cobrazera?csVersion=CS2
maxster,7407,57.1%,10511,https://www.hltv.org/stats/players/20879/maxster?csVersion=CS2
poiii,9103,57.5%,12739,https://www.hltv.org/stats/players/23397/poiii?csVersion=CS2
Ax1Le,7529,49.8%,10845,https://www.hltv.org/stats/players/16555/ax1le?csVersion=CS2
Jame,10169,30.3%,14537,https://www.hltv.org/stats/players/13776/jame?csVersion=CS2
FenomeN,12227,31.0%,17143,https://www.hltv.org/stats/players/22879/fenomen?csVersion=CS2
Starry,5403,59.7%,7558,https://www.hltv.org/stats/players/20254/starry?csVersion=CS2
executor,10200,51.3%,15100,https://www.hltv.org/stats/players/22927/executor?csVersion=CS2
spooke,11132,58.4%,15398,https://www.hltv.org/stats/players/19064/spooke?csVersion=CS2
r1nkle,8420,37.0%,11294,https://www.hltv.org/stats/players/20425/r1nkle?csVersion=CS2
ICY,6386,32.7%,8955,https://www.hltv.org/stats/players/21439/icy?csVersion=CS2
sugaR,9806,59.8%,14207,https://www.hltv.org/stats/players/18510/sugar?csVersion=CS2
tasman,4407,59.6%,6181,https://www.hltv.org/stats/players/23541/tasman?csVersion=CS2
ArtFr0st,9267,27.1%,12779,https://www.hltv.org/stats/players/21348/artfr0st?csVersion=CS2
Bwills,3692,52.3%,5229,https://www.hltv.org/stats/players/16647/bwills?csVersion=CS2
Zyphon,11385,58.4%,15885,https://www.hltv.org/stats/players/20090/zyphon?csVersion=CS2
saadzin,9154,37.4%,13133,https://www.hltv.org/stats/players/22965/saadzin?csVersion=CS2
MagnumZ,3240,37.8%,4397,https://www.hltv.org/stats/players/19538/magnumz?csVersion=CS2
oskar,8998,35.5%,12002,https://www.hltv.org/stats/players/798/oskar?csVersion=CS2
snav,10064,47.3%,14428,https://www.hltv.org/stats/players/19711/snav?csVersion=CS2
oz1k,5406,58.1%,8014,https://www.hltv.org/stats/players/23771/oz1k?csVersion=CS2
lash,4406,34.8%,6287,https://www.hltv.org/stats/players/22956/lash?csVersion=CS2
Jee,5637,32.4%,7801,https://www.hltv.org/stats/players/20702/jee?csVersion=CS2
jottAAA,8230,56.7%,11509,https://www.hltv.org/stats/players/22361/jottaaa?csVersion=CS2
HUASOPEEK,8394,59.4%,12263,https://www.hltv.org/stats/players/22613/huasopeek?csVersion=CS2
Markoś,6571,32.6%,9434,https://www.hltv.org/stats/players/11276/marko?csVersion=CS2
Drox,3237,59.5%,4413,https://www.hltv.org/stats/players/20396/drox?csVersion=CS2
b1elany,11004,54.0%,15991,https://www.hltv.org/stats/players/20637/b1elany?csVersion=CS2
Kylar,5963,59.4%,8633,https://www.hltv.org/stats/players/19114/kylar?csVersion=CS2
draken,10240,32.9%,13900,https://www.hltv.org/stats/players/9255/draken?csVersion=CS2
qw1nk1,5227,60.7%,7738,https://www.hltv.org/stats/players/24725/qw1nk1?csVersion=CS2
Maka,10617,40.5%,15229,https://www.hltv.org/stats/players/13138/maka?csVersion=CS2
lux,9417,52.4%,13534,https://www.hltv.org/stats/players/20563/lux?csVersion=CS2
glowiing,13788,56.7%,19368,https://www.hltv.org/stats/players/17508/glowiing?csVersion=CS2
aNdu,7661,58.7%,10568,https://www.hltv.org/stats/players/20926/andu?csVersion=CS2
br0,6683,57.1%,9650,https://www.hltv.org/stats/players/16717/br0?csVersion=CS2
coldzera,8272,50.2%,11882,https://www.hltv.org/stats/players/9216/coldzera?csVersion=CS2
Plopski,8208,50.3%,11612,https://www.hltv.org/stats/players/14218/plopski?csVersion=CS2
avid,11679,53.3%,16742,https://www.hltv.org/stats/players/22860/avid?csVersion=CS2
Terryyy,3444,50.2%,4774,https://www.hltv.org/stats/players/21395/terryyy?csVersion=CS2
relaxxie,6972,50.2%,9819,https://www.hltv.org/stats/players/23684/relaxxie?csVersion=CS2
tex1y,10620,56.1%,15442,https://www.hltv.org/stats/players/22930/tex1y?csVersion=CS2
dem0n,9119,69.4%,13196,https://www.hltv.org/stats/players/20584/dem0n?csVersion=CS2
bnox,14106,56.6%,19944,https://www.hltv.org/stats/players/20309/bnox?csVersion=CS2
misutaaa,8675,59.0%,12273,https://www.hltv.org/stats/players/14176/misutaaa?csVersion=CS2
Jimpphat,6377,52.0%,9532,https://www.hltv.org/stats/players/18850/jimpphat?csVersion=CS2
thamlike,4507,50.3%,6638,https://www.hltv.org/stats/players/11013/thamlike?csVersion=CS2
chengking,3241,50.8%,4436,https://www.hltv.org/stats/players/24304/chengking?csVersion=CS2
frontales,4202,34.7%,5926,https://www.hltv.org/stats/players/24806/frontales?csVersion=CS2
j3kie,10559,64.9%,14630,https://www.hltv.org/stats/players/20228/j3kie?csVersion=CS2
REDSTAR,8729,56.0%,12346,https://www.hltv.org/stats/players/15369/redstar?csVersion=CS2
