Player,Total Kills,Total Headshots,Kills per Round,Headshots per Round,Rounds played
Caleyy,6921,4256.415,0.7619729164373005,0.46861334360893975,9083
REZ,6946,3973.112,0.7176361194338258,0.41048786031614837,9679
Tiger,3894,1401.84,0.7323678766221553,0.2636524355839759,5317
Swisher,7928,3813.368,0.6792905492245738,0.32673875417702,11671
dwushka,6948,4432.824,0.7038800526795664,0.44907547360956335,9871
dgt,7415,3878.045,0.7322010467068233,0.3829411474276686,10127
lauNX,9091,5200.052,0.7197371546195868,0.4116896524424036,12631
FaNg,5818,3496.618,0.7614186624787331,0.4576126161497186,7641
nqz,9013,2902.186,0.7031518177562802,0.22641488531752224,12818
stressarN,5061,2692.452,0.7353966870095903,0.39123103748910204,6882
flayy,9066,3336.288,0.738093299682488,0.27161833428315557,12283
Wicadia,8138,4459.624,0.739347687835014,0.40516253293358767,11007
xertioN,7393,3822.1810000000005,0.7101825168107588,0.3671643611911624,10410
nardes,4181,1421.54,0.7181380968739265,0.244166952937135,5822
jL,4749,2654.691,0.7003391830113552,0.39148960330334753,6781
venomzera,10262,6136.6759999999995,0.6859625668449197,0.410205614973262,14960
eraa,12349,4322.15,0.7748635251302002,0.27120223379557,15937
JBOEN,5169,2005.572,0.7272087788407429,0.2821570061902082,7108
spirit,8212,4598.72,0.7148950988073475,0.40034125533211457,11487
DGL,4668,1787.844,0.750965250965251,0.2876196911196911,6216
yAmi,5116,2813.8,0.7377072819033886,0.4057390050468638,6935
leakz,6755,3863.86,0.7043061203211344,0.40286310082368887,9591
regali,3757,1423.9029999999998,0.7416107382550335,0.2810704697986577,5066
PR,9117,4886.712,0.7069085833914864,0.3789030006978367,12897
L1haNg,7058,4100.698,0.7238231976207569,0.42054127781765976,9751
keen,4804,1844.736,0.7407864302235929,0.2844619892058597,6485
soulfly,8749,4496.986,0.7202008561080013,0.37018324003951264,12148
HEN1,6416,2104.448,0.6762938758300833,0.2218243912722673,9487
Banjo,7809,3873.264,0.674993517157922,0.33479678451032935,11569
Djon8,10134,5837.184,0.7394381612550164,0.42591638088288947,13705
syph0,8021,4660.201,0.6952413972436509,0.40393525179856116,11537
xfl0ud,8335,4492.565,0.7070749915167968,0.3811134204275534,11788
cobrazera,5115,3033.195,0.7137873290538654,0.42327588612894224,7166
maxster,7407,4229.397,0.704690324422034,0.40237817524498143,10511
poiii,9103,5234.225,0.7145772823612528,0.41088193735772044,12739
Ax1Le,7529,3749.4419999999996,0.6942369755647764,0.3457300138312586,10845
Jame,10169,3081.2070000000003,0.6995253491091697,0.21195618078007844,14537
FenomeN,12227,3790.37,0.7132357230356414,0.22110307414104882,17143
Starry,5403,3225.5910000000003,0.7148716591690923,0.4267783805239482,7558
executor,10200,5232.6,0.6754966887417219,0.34652980132450334,15100
spooke,11132,6501.088,0.7229510326016366,0.4222034030393557,15398
r1nkle,8420,3115.4,0.7455285992562423,0.27584558172480966,11294
ICY,6386,2088.222,0.7131211613623674,0.23319061976549416,8955
sugaR,9806,5863.987999999999,0.6902231294432322,0.41275343140705284,14207
tasman,4407,2626.572,0.7129914253357061,0.4249428895000809,6181
ArtFr0st,9267,2511.357,0.725174113780421,0.1965221848344941,12779
Bwills,3692,1930.9159999999997,0.7060623446165615,0.3692706062344616,5229
Zyphon,11385,6648.84,0.71671388101983,0.41856090651558076,15885
saadzin,9154,3423.5959999999995,0.6970227670753065,0.26068651488616457,13133
MagnumZ,3240,1224.7199999999998,0.7368660450307027,0.2785353650216056,4397
oskar,8998,3194.29,0.7497083819363439,0.2661464755874021,12002
snav,10064,4760.272,0.6975325755475464,0.32993290823398946,14428
oz1k,5406,3140.8860000000004,0.674569503369104,0.3919248814574495,8014
lash,4406,1533.2879999999998,0.7008111977095595,0.24388229680292664,6287
Jee,5637,1826.388,0.7225996667093962,0.23412229201384438,7801
jottAAA,8230,4666.41,0.7150925362759579,0.40545746806846816,11509
HUASOPEEK,8394,4986.036,0.6844980836663133,0.4065918616977901,12263
Markoś,6571,2142.146,0.6965232139071443,0.22706656773372907,9434
Drox,3237,1926.015,0.7335146159075459,0.4364411964649898,4413
b1elany,11004,5942.16,0.688137077105872,0.3715940216371709,15991
Kylar,5963,3542.022,0.6907216494845361,0.4102886597938144,8633
draken,10240,3368.96,0.7366906474820144,0.24237122302158273,13900
qw1nk1,5227,3172.789,0.6754975445851641,0.41002700956319466,7738
Maka,10617,4299.885,0.6971567404294439,0.28234847987392475,15229
lux,9417,4934.508,0.6958031624057928,0.36460085710063544,13534
glowiing,13788,7817.796000000001,0.7118959107806692,0.4036449814126395,19368
aNdu,7661,4497.0070000000005,0.7249242997728993,0.4255305639666919,10568
br0,6683,3815.993,0.692538860103627,0.395439689119171,9650
coldzera,8272,4152.544,0.6961790944285474,0.3494819054031308,11882
Plopski,8208,4128.624,0.7068549776093697,0.3555480537375129,11612
avid,11679,6224.906999999999,0.6975869071795484,0.3718138215266993,16742
Terryyy,3444,1728.8880000000001,0.7214076246334311,0.3621466275659824,4774
relaxxie,6972,3499.9440000000004,0.7100519401161014,0.356446073938283,9819
tex1y,10620,5957.82,0.6877347493847947,0.38581919440486984,15442
dem0n,9119,6328.586000000001,0.6910427402243104,0.4795836617156715,13196
bnox,14106,7983.996,0.707280385078219,0.40032069795427194,19944
misutaaa,8675,5118.25,0.7068361443819767,0.41703332518536623,12273
Jimpphat,6377,3316.04,0.6690096516995384,0.34788501888375994,9532
thamlike,4507,2267.0209999999997,0.6789695691473335,0.3415216932811087,6638
chengking,3241,1646.4279999999999,0.7306131650135257,0.371151487826871,4436
frontales,4202,1458.0940000000003,0.7090786365170435,0.24605028687141414,5926
j3kie,10559,6852.791000000001,0.7217361585782638,0.4684067669172933,14630
REDSTAR,8729,4888.24,0.7070306172039527,0.3959371456342135,12346
atarax1a,6213,2168.337,0.7077115844629229,0.2469913429775601,8779
hardzao,8938,4638.822,0.7057801642451043,0.3662999052432091,12664
NertZ,7723,4139.528,0.7208325555348143,0.38636624976666045,10714
ksloks,8137,4516.035,0.7070119037275175,0.39239160656877226,11509
SHOCK,13698,7739.37,0.6738820288286516,0.3807433462881881,20327
Cxzi,7794,3585.24,0.7127572016460906,0.32786831275720163,10935
dpr,4205,1980.555,0.6948116325181758,0.3272562789160608,6052
maxxkor,7058,2625.5760000000005,0.7055883235029491,0.26247885634309714,10003
laxiee,4867,2715.7859999999996,0.7396656534954408,0.41273343465045587,6580
jocab,6751,3389.002,0.7242785108893895,0.36358781246647354,9321
aidKiT,3806,1275.01,0.7274464831804281,0.2436945718654434,5232
sl3nd,5876,1862.6919999999998,0.7057410521258708,0.223719913523901,8326
nut nut,9743,5631.454000000001,0.6625186998504012,0.38293580851353193,14706
clax,12792,7317.024,0.6888158957514404,0.39400269236982394,18571
Alkaren,5233,1606.531,0.7006292676395769,0.21509318516535011,7469
swiz,5315,2843.525,0.7252012552872151,0.3879826715786601,7329
m1N1,5565,2270.5199999999995,0.7406175139739154,0.3021719457013574,7514
n0rb3r7,6894,3522.8340000000003,0.6750881316098707,0.34497003525264397,10212
kisserek,9128,5066.04,0.6884899683210137,0.3821119324181626,13258
XELLOW,11989,4927.479,0.7193256134877303,0.29564282714345713,16667
drac,5551,2653.3779999999997,0.690508769747481,0.3300631919392959,8039
xerolte,5476,3033.7039999999997,0.7007934476580496,0.3882395700025595,7814
JOTA,3922,1984.5320000000002,0.691710758377425,0.3500056437389771,5670
Woro2k,10111,3973.623,0.7576052749887606,0.29773887307058294,13346
suonko,5944,3566.4,0.715627257404286,0.42937635444257166,8306
hazr,5064,3068.784,0.6839546191247974,0.41447649918962726,7404
cJ dA K1nG,6086,3249.9239999999995,0.7054596035701867,0.3767154283064796,8627
Jorko,4141,1478.3370000000002,0.7179264909847434,0.2562997572815534,5768
pancc,4127,2476.2,0.6911740077039022,0.41470440462234126,5971
sirah,12564,6947.892,0.7097102186070158,0.3924697508896797,17703
mopoz,10243,5582.435,0.6779851734180566,0.3695019195128409,15108
DemQQ,10804,6374.36,0.6869277721261444,0.40528738555442523,15728
tomate,7589,3840.034,0.6845570990438391,0.3463858921161826,11086
oopee,4680,2545.92,0.729995320542817,0.3971174543752925,6411
